jarak_tempuh_km,durasi_kemacetan_menit,suhu_saat_ini,nilai_mkt_sejauh_ini,probabilitas_rusak,durasi_ekskursi_menit_final,nilai_mkt_final
12.7,44.96,5.52,4.81,0.0,0,5.47
2.21,18.31,5.42,5.19,0.0081,0,5.45
7.76,57.09,6.5,5.57,0.1447,9,6.62
6.9,42.86,6.18,5.74,0.0,0,6.13
16.44,19.61,6.25,5.56,0.0,0,6.19
11.41,17.37,5.0,5.11,0.0168,0,5.37
14.4,31.42,4.61,4.61,0.0798,0,4.97
7.48,4.75,5.45,5.47,0.0,0,5.48
15.19,7.06,5.64,4.99,0.0182,0,5.26
6.98,10.55,5.17,4.75,0.0,0,5.06
10.82,46.48,4.56,4.67,0.0,0,4.82
10.64,30.83,1.46,1.78,0.4734,46,1.88
6.51,0.63,1.84,3.98,0.3319,12,3.1
12.42,40.41,8.01,7.07,0.1372,16,7.39
17.74,25.42,4.14,4.53,0.0,0,4.56
18.12,30.65,6.5,5.82,0.0677,0,5.58
7.56,12.85,5.83,5.65,0.0214,0,5.8
3.65,33.11,1.66,2.56,0.3081,22,2.41
3.99,58.75,7.95,6.32,0.1512,12,6.81
9.52,4.41,4.51,4.59,0.0046,0,4.7
5.28,17.04,6.02,5.82,0.0,0,6.11
18.33,14.58,5.8,5.24,0.0,0,5.73
8.4,14.91,4.83,4.6,0.0509,0,4.66
18.94,22.72,5.56,5.18,0.0,0,4.76
15.76,49.09,6.8,5.61,0.0,0,6.08
16.44,54.77,6.62,5.51,0.0538,29,6.95
8.02,12.13,6.13,5.94,0.0,0,6.09
8.51,32.58,4.66,4.36,0.0,0,5.07
12.82,38.21,5.27,4.3,0.0456,0,4.62
7.9,31.31,5.87,4.89,0.0,0,5.21
5.86,26.04,5.44,4.72,0.0294,0,5.23
9.82,11.52,6.16,5.82,0.0361,0,6.09
7.39,29.29,5.23,4.98,0.0,0,5.45
4.26,24.07,5.87,5.55,0.0898,0,6.05
6.81,47.73,5.21,4.61,0.0468,0,5.58
7.51,45.82,5.54,5.01,0.0,0,5.88
7.22,8.04,5.62,5.61,0.0116,0,5.26
3.08,5.31,4.94,5.05,0.1049,0,5.24
19.64,54.49,5.51,5.3,0.0359,0,5.99
9.97,32.13,5.18,4.91,0.0476,0,4.99
6.78,51.47,4.7,4.25,0.0252,0,4.89
6.54,3.49,3.18,3.21,0.0,0,3.17
18.6,31.59,6.91,6.02,0.0344,0,6.32
5.65,32.37,6.49,5.63,0.0115,0,6.22
14.34,51.64,8.37,6.85,0.0731,5,6.82
9.73,5.86,3.97,3.68,0.0289,0,3.82
13.13,14.43,6.01,5.81,0.032,0,6.28
6.37,24.39,4.55,4.43,0.0824,0,4.51
15.18,51.95,7.13,6.47,0.1449,29,7.34
15.88,56.33,6.74,6.01,0.1697,27,7.26
3.01,59.56,6.87,5.94,0.1391,6,6.56
8.91,57.55,6.19,5.22,0.0,0,5.18
4.4,0.36,5.08,5.14,0.0106,0,5.16
2.34,2.86,5.19,5.11,0.0313,0,5.09
15.6,8.86,4.42,4.14,0.0,0,4.75
16.86,20.93,5.37,5.82,0.0663,0,5.85
7.91,49.8,6.08,5.96,0.0785,0,6.34
8.93,53.56,8.33,7.09,0.2127,35,7.73
12.69,11.21,5.26,4.84,0.0,0,5.1
9.96,37.18,4.56,4.24,0.0455,0,4.8
17.91,55.04,7.63,6.25,0.2567,41,7.42
12.11,27.82,5.75,5.01,0.0388,0,5.52
5.03,6.21,5.35,5.4,0.0,0,5.39
13.71,27.47,6.28,4.95,0.0,0,5.35
6.15,22.55,5.16,4.73,0.0,0,4.93
5.97,34.66,6.54,5.91,0.1982,13,7.16
17.47,26.32,5.37,5.42,0.0587,9,6.42
4.21,1.04,5.81,5.82,0.061,0,5.84
13.19,59.64,4.75,4.47,0.0684,0,4.97
8.21,32.61,3.88,3.79,0.0265,0,4.22
12.13,28.42,5.85,5.11,0.0563,0,5.26
9.77,57.28,6.36,5.56,0.006,0,6.11
6.3,9.35,4.5,4.18,0.0383,0,4.33
19.5,11.35,5.1,4.8,0.0384,0,5.62
7.4,48.48,7.34,6.42,0.0262,7,6.83
16.81,15.65,4.6,4.26,0.0,0,4.95
19.76,47.95,5.14,4.64,0.147,17,6.32
5.3,16.29,4.54,4.35,0.0,0,4.53
4.32,1.99,3.66,3.65,0.007,0,3.61
8.79,31.02,6.39,5.57,0.0274,2,6.23
5.61,11.8,6.1,5.85,0.0,0,6.4
11.04,45.47,3.25,3.53,0.0,0,3.8
7.18,38.47,5.0,4.75,0.0,0,4.94
5.18,55.42,7.7,6.68,0.0,0,6.95
13.82,46.98,9.16,7.57,0.2704,34,7.72
12.52,10.85,5.27,5.12,0.0704,0,5.29
18.1,48.01,5.98,5.84,0.2933,37,7.63
7.27,38.5,6.71,6.2,0.0,0,6.62
15.22,40.14,5.63,4.8,0.0,10,6.29
15.2,49.94,6.62,5.44,0.0,10,6.29
5.35,34.43,5.75,5.16,0.0,0,5.79
19.14,27.96,5.13,4.71,0.0,0,5.44
17.35,38.2,4.63,6.24,0.0871,0,6.05
5.63,17.88,6.37,6.05,0.0,0,6.16
12.07,10.96,5.17,4.78,0.0445,0,4.88
10.97,37.0,7.27,6.69,0.0734,16,7.26
9.65,14.03,5.72,5.59,0.0174,0,5.91
3.83,4.79,4.49,4.36,0.0,0,4.42
10.76,0.03,4.12,3.98,0.0,0,3.8
11.49,36.5,7.04,6.07,0.0495,4,6.58
19.69,21.73,7.25,5.93,0.0,2,6.38
6.33,45.14,6.79,5.58,0.0,0,6.11
18.83,22.51,7.23,6.35,0.0788,5,6.82
12.2,29.16,4.47,4.97,0.0,0,5.05
14.36,24.43,6.06,5.9,0.0696,10,6.81
17.45,39.03,6.5,6.2,0.1344,27,7.45
10.41,21.37,5.32,5.21,0.0337,0,5.38
11.46,57.83,7.29,6.42,0.2586,23,7.4
11.14,56.17,8.38,6.68,0.1495,30,7.51
10.62,50.88,6.87,6.05,0.2327,26,7.03
18.88,55.22,6.63,5.02,0.0927,17,6.24
7.35,26.95,6.34,6.21,0.0659,0,6.63
6.63,32.19,5.88,5.62,0.0,0,6.17
6.26,44.53,6.86,5.74,0.012,1,6.2
11.42,41.77,5.28,4.87,0.0646,0,5.19
6.48,53.44,6.37,5.41,0.0,2,6.16
2.58,42.98,6.57,5.64,0.034,0,5.96
7.16,59.87,5.75,5.5,0.0,0,5.77
3.69,20.91,3.58,5.28,0.0077,0,4.72
3.11,49.98,4.18,4.04,0.0,0,4.35
9.75,41.86,6.99,5.3,0.0131,0,5.81
15.16,41.48,3.91,3.15,0.0075,0,3.8
6.65,19.55,5.59,5.13,0.0,0,5.04
19.67,47.14,6.82,5.78,0.051,22,6.76
18.11,54.02,6.53,5.31,0.0,0,5.14
5.64,13.11,3.69,3.91,0.0247,0,3.95
5.68,37.53,3.55,3.5,0.0,0,3.63
2.16,23.53,5.41,5.09,0.0459,0,5.35
6.7,59.37,4.81,4.42,0.0,0,5.29
17.31,28.73,5.65,4.54,0.0421,0,5.34
6.92,13.7,6.0,5.76,0.0,0,5.75
19.97,22.91,4.56,4.03,0.0437,0,5.01
8.88,39.23,6.56,5.67,0.0,0,6.22
15.86,4.57,4.9,4.6,0.0,0,4.67
18.62,36.22,6.28,5.57,0.154,16,6.64
8.54,55.87,3.34,4.2,0.0,0,4.17
18.62,51.02,4.55,4.79,0.0,0,5.02
7.36,4.06,4.55,4.19,0.0384,0,4.29
19.65,59.6,4.99,5.57,0.0095,0,5.25
5.69,41.92,7.77,6.31,0.2013,17,7.06
7.56,9.74,5.49,5.25,0.0,0,5.56
5.8,0.74,5.92,5.87,0.0,0,6.12
15.64,10.28,4.03,4.11,0.0412,0,4.58
12.98,50.29,6.21,5.69,0.0533,24,7.08
12.17,1.3,4.59,4.73,0.0124,0,4.64
7.75,13.99,4.02,3.87,0.0,0,3.31
2.86,45.44,6.17,6.09,0.0,0,6.35
5.48,35.17,7.35,6.4,0.0,1,6.87
13.29,46.96,5.49,4.12,0.0,0,4.87
8.8,44.77,8.46,7.25,0.1894,30,7.85
19.33,3.04,6.38,5.51,0.0,0,5.82
7.99,53.55,5.11,6.11,0.0,0,6.27
8.0,13.62,4.99,5.05,0.0,0,5.13
8.63,33.2,3.97,3.89,0.0,0,4.36
11.21,38.66,5.08,4.79,0.021,0,4.74
8.49,10.12,5.72,5.38,0.0555,0,5.62
12.37,58.57,5.16,4.48,0.0657,7,5.93
5.06,29.29,5.84,5.32,0.0,0,5.68
15.68,3.46,2.42,2.99,0.1457,4,2.88
13.7,56.24,7.2,6.47,0.1682,25,7.06
2.52,35.18,6.32,5.94,0.0,0,6.67
3.82,41.95,5.19,4.44,0.0,0,4.96
7.8,31.51,7.67,6.83,0.067,0,6.96
7.67,50.08,6.24,5.55,0.1163,13,6.64
8.75,1.99,4.19,4.32,0.0012,0,4.24
11.26,16.1,5.78,5.11,0.0172,0,5.67
10.26,28.18,6.69,5.7,0.0,0,6.24
2.04,4.6,4.85,4.85,0.0832,0,4.95
6.9,42.35,4.92,4.61,0.0413,0,4.05
13.48,23.62,4.41,4.29,0.0,0,4.56
2.55,16.36,4.56,4.44,0.0252,0,4.52
15.57,0.2,4.45,4.22,0.003,0,4.61
18.58,43.19,6.23,5.76,0.1404,29,7.23
11.52,50.03,5.77,4.63,0.0,0,5.19
12.32,23.7,5.79,4.89,0.0396,0,5.35
3.55,33.85,4.05,3.83,0.0,0,4.16
12.81,13.66,4.74,4.32,0.0031,0,4.51
12.31,37.33,5.22,4.5,0.0,0,4.96
13.67,0.73,6.16,5.98,0.0102,0,6.31
15.34,29.32,5.21,4.75,0.0725,0,5.6
6.6,38.65,5.82,4.85,0.0,0,5.56
5.23,55.09,5.96,6.16,0.0,0,6.26
5.2,22.88,5.38,5.18,0.0,0,5.59
6.09,45.91,6.36,5.95,0.011,2,6.62
3.01,35.86,4.88,5.22,0.0,0,5.29
10.65,55.62,5.93,4.98,0.0357,0,5.8
6.51,23.9,4.48,4.22,0.0346,0,4.49
14.51,19.15,6.38,5.96,0.0,0,6.37
18.2,53.23,5.45,5.07,0.0735,14,6.42
18.32,2.95,4.61,4.3,0.0021,0,4.12
19.36,8.18,6.44,5.89,0.0,0,6.16
18.02,4.94,3.72,3.83,0.0656,0,3.92
5.03,50.59,5.77,5.53,0.0472,0,6.17
10.7,0.64,3.98,3.87,0.0508,0,3.91
17.28,51.7,6.51,5.86,0.0,4,4.73
10.49,27.08,4.62,4.43,0.0,0,4.16
6.63,0.24,5.71,5.67,0.0289,0,5.69
3.02,24.1,4.76,4.37,0.0507,0,4.58
4.31,11.21,5.87,5.7,0.0903,0,5.91
4.08,37.46,2.12,4.01,0.0801,0,3.24
4.59,40.76,6.89,6.16,0.0215,0,6.65
11.97,29.25,6.94,6.16,0.0646,0,6.45
4.91,2.43,4.66,4.86,0.0452,0,4.78
12.4,39.37,6.72,6.24,0.139,13,6.89
7.68,50.52,6.3,5.4,0.0739,10,6.78
4.05,43.22,5.65,5.21,0.0488,0,5.77
17.21,49.8,4.51,5.16,0.1138,0,5.16
3.43,12.03,4.6,4.42,0.0254,0,4.69
3.35,53.33,5.62,4.69,0.0,0,5.59
15.62,19.33,2.87,4.0,0.0439,0,3.8
8.81,0.8,5.31,5.06,0.0,0,5.16
17.93,50.6,8.7,7.01,0.1524,40,7.82
18.4,56.51,7.75,6.28,0.2081,27,7.02
7.91,39.33,6.64,6.7,0.0,0,6.81
4.67,13.89,2.7,3.26,0.0,0,3.4
7.8,15.1,4.25,4.33,0.0604,0,4.41
18.02,28.0,5.5,5.04,0.0397,0,5.63
18.4,53.87,6.23,5.37,0.0486,0,6.06
18.3,8.98,2.58,3.81,0.0099,0,3.58
13.13,49.56,5.41,4.58,0.0297,0,5.77
14.7,17.48,5.09,4.68,0.0,0,5.53
13.18,48.52,5.68,5.05,0.0058,0,6.03
5.77,55.22,7.4,6.79,0.1555,18,7.51
16.18,25.65,5.43,5.29,0.0,0,5.94
12.58,21.9,5.24,5.39,0.0384,0,5.46
14.72,48.13,5.98,5.52,0.0348,15,6.76
12.54,31.77,6.65,6.05,0.0563,0,6.38
12.38,41.07,6.86,5.73,0.0817,0,6.32
3.46,37.37,5.86,5.33,0.0353,0,5.59
9.18,9.17,7.22,6.55,0.0855,0,6.72
7.38,50.69,5.17,5.04,0.0,0,5.11
7.93,11.75,6.44,5.78,0.0278,0,6.15
19.59,55.94,8.56,6.96,0.1848,49,7.81
7.3,15.03,4.69,4.3,0.0,0,4.56
9.04,44.03,8.03,6.93,0.3192,34,7.81
4.66,17.08,5.12,4.76,0.023,0,4.86
14.15,19.07,5.47,4.83,0.0,0,5.38
5.16,18.6,5.0,4.76,0.0,0,4.86
16.91,44.87,5.12,5.72,0.0159,4,6.31
16.78,33.41,3.75,4.25,0.0527,0,4.34
8.56,52.98,5.48,4.74,0.0341,0,5.09
9.33,18.44,3.84,4.12,0.0,0,4.03
19.07,41.52,8.69,6.78,0.2388,37,7.68
17.39,45.18,7.0,5.9,0.22,25,7.03
4.12,9.09,4.53,4.37,0.0,0,4.48
6.23,24.04,5.64,4.86,0.0827,0,5.05
11.27,28.97,5.79,5.29,0.0,0,6.32
13.39,21.34,4.86,4.54,0.0153,0,4.78
7.81,19.33,4.92,4.85,0.0,0,4.9
11.72,41.19,3.78,4.23,0.0,0,4.16
7.85,12.95,6.82,6.36,0.0,0,6.58
9.91,42.56,3.89,4.26,0.1207,0,4.51
4.67,56.1,5.24,4.39,0.0153,0,4.7
17.61,33.91,6.17,4.79,0.0225,0,5.49
9.85,36.69,7.52,6.71,0.1803,10,7.06
17.58,4.14,5.55,5.52,0.0513,0,5.54
6.55,51.87,5.94,4.82,0.0,0,5.62
6.3,17.13,4.54,4.32,0.0,0,4.03
5.64,36.9,4.23,4.01,0.0,0,4.57
6.24,58.75,6.13,5.09,0.0,0,6.14
14.63,35.73,4.37,4.35,0.077,0,4.67
2.38,43.48,6.49,5.72,0.0122,3,6.57
5.58,26.72,6.19,6.24,0.0,0,6.23
10.45,3.62,4.37,4.65,0.0192,0,4.65
3.27,47.86,5.2,4.97,0.1035,0,5.36
12.51,2.1,5.11,5.09,0.0358,0,5.18
11.84,42.04,0.76,1.73,0.341,39,1.77
7.06,1.38,6.5,6.14,0.0672,0,5.66
4.76,51.74,6.9,6.2,0.0599,9,6.97
16.39,9.46,4.31,3.77,0.0,2,3.51
17.79,30.86,6.48,5.84,0.0822,0,6.19
19.59,35.83,3.59,4.73,0.0768,0,4.98
9.0,27.45,5.8,5.26,0.0285,0,5.42
15.74,20.45,7.44,6.35,0.0947,15,6.97
10.91,28.07,6.51,6.03,0.0759,0,6.36
15.16,18.68,6.32,6.21,0.0,0,6.69
12.14,26.29,5.5,4.86,0.0,0,5.19
2.75,21.53,6.15,5.59,0.0,0,5.82
15.93,33.97,7.18,6.32,0.0034,6,6.76
19.29,14.28,5.85,5.32,0.0836,0,5.81
17.52,59.32,9.13,7.01,0.3113,46,8.31
18.54,30.05,5.78,5.21,0.0,0,5.59
6.22,11.65,2.99,3.58,0.0,0,3.44
11.89,28.62,6.54,6.17,0.0424,3,6.85
4.2,51.98,5.42,5.33,0.0913,0,6.12
10.55,1.31,4.39,4.18,0.0,0,4.25
7.86,40.77,5.5,4.91,0.0,1,6.11
7.73,32.88,6.77,5.92,0.0,0,6.37
6.8,10.17,7.17,6.55,0.0426,0,6.78
12.88,49.05,6.04,4.91,0.127,15,6.43
19.61,22.13,7.05,6.67,0.1174,23,7.48
18.67,17.63,5.17,4.6,0.0682,0,5.06
7.43,49.69,6.63,6.13,0.2314,16,7.28
10.53,38.31,6.04,5.34,0.0,0,5.83
6.67,53.9,5.71,5.12,0.0,3,6.11
10.41,37.79,4.62,4.0,0.06,0,4.62
7.07,44.45,5.04,4.57,0.0202,0,4.5
12.86,50.19,6.21,5.61,0.1217,4,6.18
6.12,3.28,5.58,5.66,0.0,0,5.58
17.8,46.56,2.4,3.27,0.0554,12,3.22
2.37,36.82,6.53,5.78,0.0,0,6.18
6.98,4.17,3.84,3.89,0.0124,0,3.91
15.71,30.51,3.96,3.83,0.038,0,4.67
11.53,4.95,5.31,4.98,0.0,0,5.12
3.98,44.16,4.57,5.27,0.0428,0,5.23
5.75,32.79,6.77,5.92,0.0309,0,6.57
12.31,57.21,4.2,3.51,0.0,0,3.85
10.33,10.99,6.02,5.47,0.0373,0,5.67
8.77,36.36,4.28,3.94,0.0734,16,3.09
15.42,12.69,3.36,3.34,0.0619,0,3.78
16.54,36.84,6.55,5.78,0.1336,16,6.79
8.67,43.36,6.81,5.87,0.073,6,6.54
5.74,43.34,6.99,6.14,0.0327,0,6.42
17.73,48.9,7.72,6.8,0.2627,45,8.16
3.35,51.21,6.53,6.12,0.1351,14,7.18
5.97,4.64,3.28,4.17,0.0442,0,3.92
14.41,20.6,5.98,6.09,0.0678,0,6.12
9.83,41.23,5.07,4.29,0.004,0,4.81
8.7,29.92,6.05,5.7,0.0087,0,5.86
5.14,11.44,6.03,5.98,0.0,0,6.34
5.41,33.16,4.13,3.59,0.0,0,3.87
3.65,24.45,2.89,2.68,0.0194,1,2.98
14.18,23.4,4.19,3.87,0.0,0,4.35
7.5,48.59,6.53,6.25,0.0,0,6.69
12.93,24.46,6.6,5.39,0.0498,0,5.8
7.33,1.59,5.62,5.55,0.0,0,5.61
9.47,3.48,3.71,3.85,0.0,0,3.81
5.53,51.37,7.36,6.93,0.145,17,7.52
5.56,57.64,4.8,4.19,0.0,0,5.43
5.4,41.3,5.66,5.53,0.0519,0,5.86
16.09,21.86,6.11,5.65,0.0224,0,6.22
9.77,56.32,4.77,4.28,0.0604,2,5.89
16.94,39.77,7.84,6.96,0.139,26,7.39
3.09,50.66,7.45,6.58,0.0547,9,6.95
11.79,45.95,5.83,5.25,0.0,0,5.82
12.69,22.75,5.79,5.42,0.0,0,5.58
15.7,28.72,6.7,5.54,0.0,0,5.87
9.1,11.17,4.34,4.14,0.0257,0,4.12
6.82,17.52,5.52,4.86,0.0,0,5.06
13.34,46.69,6.33,5.91,0.0931,13,6.84
9.9,53.64,6.38,5.1,0.0962,0,5.81
11.64,43.47,6.38,5.03,0.0,1,5.94
2.64,27.91,5.07,4.64,0.0,0,4.87
6.66,5.19,5.23,5.23,0.0,0,5.32
14.3,3.42,4.7,4.32,0.0655,0,4.49
13.16,22.46,5.14,4.73,0.0537,0,5.09
16.1,27.83,6.22,5.95,0.0,0,5.96
5.86,36.55,6.49,6.13,0.1482,12,7.2
