sisa_jarak_km,durasi_kemacetan_menit,fluktuasi_mkt,probabilitas_rusak
236.74,67.9,-1.77,0.2345
86.6,17.0,2.33,0.0848
216.93,84.6,2.33,0.4289
199.25,108.6,0.62,0.2716
307.93,52.2,-2.79,0.0982
317.55,58.6,-3.03,0.0942
22.65,111.3,-3.53,0.1193
187.31,62.5,0.87,0.1243
312.93,58.5,-4.53,0.4523
251.57,69.4,0.19,0.3439
428.24,82.7,-4.2,0.7211
329.35,12.8,0.56,0.1594
81.47,98.5,-1.46,0.0401
35.28,52.3,1.83,0.0533
321.21,8.7,1.35,0.2295
13.26,94.3,2.09,0.0515
292.89,45.2,2.15,0.3954
470.12,12.0,-1.14,0.3409
287.74,76.1,-4.4,0.1539
194.08,105.6,-4.13,0.132
321.64,106.5,-6.72,0.3919
229.13,114.9,-4.21,0.3176
272.81,104.1,-1.33,0.2313
470.73,0.3,-2.9,0.358
193.05,45.6,-1.95,0.0995
480.6,98.2,-0.27,0.6988
452.68,44.0,-2.26,0.3669
97.9,72.2,-4.3,0.0355
34.68,72.8,-1.63,0.0925
50.39,43.8,-3.75,0.0421
9.11,108.5,-2.18,0.0914
47.22,60.4,1.86,0.1049
341.5,55.8,-2.18,0.2663
35.59,119.7,2.93,0.397
159.49,59.2,2.08,0.1186
422.44,21.4,-2.95,0.2048
11.64,61.6,-4.28,0.0202
407.23,97.7,-1.63,0.499
140.93,93.2,1.38,0.1702
59.08,94.6,-2.73,0.0801
348.37,85.0,0.77,0.5161
314.47,30.5,1.52,0.5206
438.74,103.5,-3.44,0.858
367.54,107.2,-3.19,0.3583
401.74,23.3,0.28,0.3332
141.02,15.7,-1.12,0.0446
88.72,117.1,-3.22,0.1149
375.31,104.2,-2.38,0.383
403.42,107.2,-1.68,0.4692
495.25,106.4,-5.41,0.7645
206.31,65.0,0.41,0.1092
186.01,77.6,-2.7,0.1457
388.21,65.4,-8.46,0.3692
170.4,6.1,-1.56,0.0486
465.38,89.5,-3.35,0.5221
429.21,60.6,2.72,0.8257
214.5,77.7,-2.96,0.1132
375.44,60.3,-4.24,0.3749
377.27,59.0,-0.23,0.5183
51.56,20.6,-3.15,0.0254
451.28,33.4,-3.45,0.4435
252.63,19.1,-0.23,0.1438
413.23,23.5,-4.1,0.176
160.02,116.8,-5.14,0.3523
447.76,18.4,2.81,0.6269
194.6,32.3,-0.05,0.1173
5.42,70.9,-2.16,0.0465
452.69,73.2,-1.51,0.4424
45.64,18.5,-0.24,0.0338
159.66,95.2,0.93,0.2719
475.03,94.2,-3.39,0.8401
475.3,28.5,-0.58,0.4567
286.72,34.6,-2.77,0.1492
315.92,112.6,-1.97,0.3678
224.22,99.1,-1.1,0.1099
146.61,83.7,-1.52,0.0971
164.33,9.9,0.34,0.0487
336.26,50.2,-0.28,0.2837
376.19,67.1,-5.27,0.2323
395.79,22.5,-4.89,0.2468
394.81,53.8,-2.42,0.4387
45.6,72.1,3.07,0.2947
247.21,39.3,-3.63,0.054
28.78,93.7,-2.02,0.0751
274.76,100.9,-2.84,0.2865
220.77,38.8,-2.89,0.0959
443.85,100.6,-1.05,0.3494
175.46,12.4,2.0,0.2765
58.53,100.5,-0.36,0.0805
71.5,18.3,-3.51,0.0119
380.76,10.0,5.38,0.8921
309.11,77.0,-1.3,0.3319
50.56,56.6,-2.94,0.0669
42.05,108.9,2.03,0.1875
350.48,43.6,-2.67,0.2618
36.38,34.5,2.66,0.0817
410.93,60.1,-3.68,0.4969
353.12,54.7,2.08,0.4997
40.67,41.3,-1.0,0.018
42.42,83.2,1.73,0.1291
493.32,91.1,3.25,0.896
187.14,102.4,-4.33,0.3393
185.32,116.7,1.69,0.6706
406.4,32.0,-5.02,0.2698
473.62,85.9,-4.12,0.4712
493.0,47.3,-3.51,0.5798
376.69,81.2,-0.24,0.3755
188.13,57.1,-1.42,0.175
41.75,119.3,-1.92,0.0589
388.57,87.5,-1.13,0.5481
279.2,114.3,-0.02,0.3787
212.11,100.2,0.17,0.1771
453.18,108.3,1.24,0.8337
55.6,97.7,3.05,0.4207
246.31,55.1,-1.55,0.1598
5.68,30.2,-2.8,0.0188
234.33,44.4,0.03,0.0851
28.15,2.4,-4.36,0.0249
59.41,62.9,-3.2,0.0718
58.76,60.6,1.0,0.0614
324.61,63.0,-1.81,0.2651
373.02,116.9,-4.52,0.72
291.68,109.4,-5.22,0.2511
481.09,19.4,-1.38,0.4855
187.44,44.3,1.35,0.1415
142.86,50.9,1.32,0.2866
434.3,43.3,-1.22,0.4146
111.8,95.8,3.52,0.64
481.61,62.9,-1.76,0.4789
6.08,68.7,-1.85,0.0172
484.94,102.4,-7.92,0.6895
21.58,96.7,-2.62,0.0603
445.57,15.9,0.63,0.3601
263.85,85.7,2.41,0.6728
496.48,52.3,-3.58,0.5376
36.9,35.4,-0.34,0.0089
276.93,6.0,1.12,0.2231
484.65,58.5,-1.47,0.4534
261.55,42.7,-7.21,0.1247
314.7,30.2,-0.88,0.3201
347.87,83.4,0.4,0.6597
227.27,92.3,-3.87,0.1702
313.78,29.4,-2.14,0.2209
292.16,5.9,-4.39,0.0871
450.58,101.9,-7.93,0.6199
22.72,1.2,1.07,0.0187
140.48,112.5,-1.51,0.0723
475.21,75.3,2.49,0.8782
445.13,38.6,0.64,0.5425
227.83,29.6,-2.39,0.0711
310.07,1.1,-1.71,0.1886
138.69,28.3,-0.08,0.0397
94.06,16.5,0.92,0.0367
231.85,73.5,-0.69,0.2175
176.68,20.0,1.26,0.0573
291.83,63.4,-2.24,0.3185
38.87,70.8,-3.99,0.0346
487.2,35.8,-1.66,0.6056
493.11,4.2,-0.99,0.5379
349.08,4.5,-4.5,0.2108
268.05,3.2,-4.84,0.0621
154.76,88.7,-0.38,0.072
406.9,38.2,-2.52,0.1995
342.37,95.6,-1.91,0.5557
81.31,51.8,-2.4,0.0415
455.46,54.4,2.3,0.7389
411.27,61.5,1.65,0.6547
474.9,85.6,-4.59,0.7545
362.86,32.8,-2.83,0.3284
306.71,14.6,0.63,0.2256
209.12,66.7,0.0,0.1818
466.36,39.2,-1.6,0.4774
433.03,53.1,-4.34,0.478
22.61,77.6,-3.21,0.0455
13.18,59.3,-2.79,0.0292
188.23,74.4,-0.81,0.1823
405.28,65.3,2.76,0.8261
493.64,88.8,-3.22,0.5843
75.21,84.7,-4.07,0.086
297.07,64.1,-1.77,0.2615
190.45,81.5,1.08,0.3098
484.96,104.8,-5.12,0.7109
421.06,51.9,2.13,0.7913
419.16,49.5,-1.93,0.3931
234.35,91.7,-3.34,0.2916
207.41,69.9,-5.5,0.1171
136.7,8.5,0.27,0.0351
28.19,107.1,-1.93,0.0857
432.36,3.7,-1.07,0.2402
406.45,89.8,-3.75,0.7688
499.86,91.1,-2.3,0.7591
498.32,114.4,-2.72,0.7711
277.72,6.5,-1.75,0.1454
384.49,71.6,-3.17,0.3566
472.38,51.3,-5.34,0.625
424.82,39.7,5.32,0.9583
123.67,10.8,-4.91,0.0617
225.27,67.5,-1.05,0.1295
64.58,57.5,-5.93,0.0234
477.03,12.5,-6.49,0.3099
303.09,73.5,-1.26,0.2472
114.32,88.6,-1.06,0.1941
335.85,92.1,1.65,0.8399
309.06,108.6,-0.5,0.4439
179.08,49.1,-1.87,0.089
56.78,114.4,-3.87,0.0755
335.79,103.9,2.25,0.8183
260.15,35.6,0.82,0.4262
386.16,19.1,-4.62,0.4425
260.08,52.2,-1.41,0.256
426.09,48.2,-1.14,0.5483
275.95,69.1,-2.36,0.3016
280.47,70.0,0.43,0.2745
438.33,90.0,0.58,0.5832
201.74,61.2,-1.98,0.1215
67.01,12.6,-2.2,0.0275
14.39,103.0,2.25,0.0981
377.57,37.2,0.83,0.3778
310.15,116.6,-1.32,0.3355
352.04,14.1,-5.57,0.276
106.48,115.0,-0.64,0.0999
68.19,10.9,0.25,0.0299
7.27,27.7,-8.39,0.0124
175.29,5.6,-0.87,0.0984
294.96,84.6,-2.54,0.1517
196.12,102.0,-2.05,0.2382
218.74,52.1,-3.77,0.0687
452.08,111.4,-1.87,0.6303
174.13,70.8,1.98,0.3201
256.99,75.6,-2.62,0.2346
391.83,101.5,0.91,0.6941
198.27,35.6,-3.52,0.0908
311.04,42.5,0.4,0.189
431.18,108.7,-1.5,0.622
474.76,108.1,-0.62,0.7182
73.54,117.2,-1.48,0.1134
463.29,108.2,0.1,0.7025
246.06,15.3,-7.92,0.1259
129.12,98.8,-5.05,0.1259
229.57,49.2,-0.46,0.1388
490.02,118.9,-6.61,0.7335
246.31,56.7,-2.83,0.0992
164.38,66.5,-1.64,0.108
316.7,63.6,-3.57,0.3991
120.07,38.6,-3.23,0.0607
37.93,9.0,-0.82,0.0113
64.44,107.5,1.02,0.2057
64.02,96.3,-3.9,0.0624
75.95,16.7,-2.94,0.0361
69.41,93.2,-3.33,0.0612
320.44,75.1,-7.55,0.3468
90.94,49.1,-1.15,0.0357
172.83,30.5,0.84,0.0828
448.39,103.2,1.04,0.6169
236.98,84.0,-3.68,0.252
333.78,65.7,-4.63,0.341
86.16,73.1,-1.45,0.0758
96.14,10.9,0.57,0.0437
20.43,56.9,-1.11,0.0205
84.47,23.2,-0.78,0.0478
139.3,25.0,1.35,0.1543
88.51,79.4,-3.35,0.0476
44.35,109.4,-2.05,0.0963
60.32,48.5,2.59,0.2139
230.39,24.9,-1.99,0.0746
103.17,77.8,-4.67,0.0657
182.13,104.5,-3.17,0.2301
251.71,89.8,-3.85,0.1307
345.2,104.3,-0.61,0.3276
19.66,64.4,-3.74,0.0204
399.71,90.2,-0.82,0.3
313.95,16.8,-3.34,0.2326
40.88,41.8,-6.81,0.0106
436.79,46.7,-0.73,0.4668
460.44,61.4,-1.13,0.6247
30.54,111.5,-0.21,0.0612
138.44,104.9,-3.18,0.1041
403.1,16.1,-3.45,0.2856
374.13,20.7,-0.5,0.2324
92.26,42.9,2.3,0.2248
104.67,34.9,-1.47,0.0115
185.24,73.8,-0.44,0.0854
242.26,108.3,-2.3,0.3416
309.13,115.5,-5.36,0.433
184.46,78.4,0.92,0.2848
231.27,100.6,0.77,0.3664
373.74,63.0,0.28,0.3856
18.34,25.0,-1.95,0.0158
126.22,63.0,-0.01,0.2005
356.67,66.6,0.73,0.6366
447.6,89.1,2.55,0.8998
255.84,26.4,0.97,0.1922
266.06,44.2,-1.34,0.1916
53.59,43.7,-4.77,0.0473
223.71,115.1,-1.11,0.3156
266.31,53.3,-0.86,0.125
121.24,90.6,0.27,0.2469
134.62,90.1,1.88,0.3063
188.64,31.9,-1.74,0.1815
10.04,68.6,3.75,0.2601
161.04,107.3,-5.9,0.1513
105.72,57.0,-0.45,0.1084
163.75,113.4,-3.5,0.2078
59.88,25.7,-6.27,0.0274
445.26,8.9,-2.0,0.1971
296.8,107.0,-5.14,0.4524
339.55,101.7,-1.9,0.3765
394.59,119.1,-1.41,0.5546
249.22,81.5,1.3,0.3207
43.46,112.4,-5.27,0.0956
268.55,99.2,0.77,0.2372
293.42,101.3,-1.25,0.3234
372.72,68.3,1.07,0.6547
215.83,45.9,-2.58,0.0625
63.79,112.1,-4.83,0.0979
141.89,51.9,-4.54,0.052
181.54,64.7,-4.73,0.0928
322.96,53.5,-0.31,0.429
285.39,67.8,2.19,0.3296
178.05,56.5,-2.91,0.1364
493.26,5.8,0.07,0.3401
302.89,105.8,-5.31,0.3202
118.61,53.3,-1.05,0.0353
50.89,70.7,0.17,0.0722
76.43,16.7,-5.12,0.0233
122.98,0.4,-2.01,0.0249
80.34,29.4,0.29,0.0397
93.28,84.6,-8.83,0.0711
142.55,11.9,1.84,0.044
86.69,109.1,-0.62,0.082
448.38,25.8,0.29,0.5242
40.12,24.6,-2.53,0.0103
262.26,21.8,-5.81,0.0678
205.2,1.7,-0.16,0.0454
491.19,92.6,-1.71,0.6121
56.02,105.0,-1.42,0.0765
198.93,73.7,1.22,0.1655
484.74,22.6,0.41,0.4417
432.75,34.2,3.3,0.8074
408.54,57.1,-1.12,0.4874
128.95,114.5,-3.23,0.2445
85.44,29.7,-1.97,0.0293
334.32,87.8,-0.46,0.6072
464.69,52.7,1.04,0.6319
278.38,35.7,-5.17,0.2104
285.81,54.7,-1.48,0.3948
139.99,8.5,2.52,0.1587
384.75,95.8,-2.1,0.3382
93.52,29.2,0.83,0.0589
161.84,87.0,-0.27,0.0993
212.72,8.2,0.89,0.0929
253.81,114.6,-3.52,0.5602
121.2,23.2,-3.51,0.022
57.42,105.9,-1.45,0.091
305.31,97.1,-5.33,0.2613
144.32,116.1,-2.17,0.1471
290.62,57.3,-0.87,0.2804
77.18,87.3,2.96,0.3459
240.57,44.5,-0.49,0.117
266.29,22.1,0.06,0.0891
25.91,53.2,1.41,0.0765
168.3,19.9,-3.91,0.1191
67.21,117.8,-1.91,0.0663
31.69,11.5,4.56,0.4063
494.98,70.7,-1.7,0.754
161.18,75.2,1.29,0.349
404.94,64.6,0.91,0.6006
127.32,79.5,-5.2,0.154
340.75,13.9,-0.72,0.1121
380.11,66.6,-1.13,0.3113
297.82,34.5,-0.68,0.2284
235.79,112.8,-3.39,0.3157
205.92,91.4,-4.29,0.1744
174.43,116.7,-2.69,0.0688
464.76,4.5,-1.74,0.2825
415.31,34.2,1.46,0.4076
482.51,23.5,3.04,0.8563
62.15,1.3,1.99,0.053
365.43,29.1,0.65,0.2565
469.17,81.5,-4.01,0.8577
90.62,27.7,-2.52,0.0552
33.25,61.1,-0.98,0.0579
370.56,106.5,-3.08,0.762
287.24,83.3,-0.06,0.3653
420.91,47.4,0.3,0.3482
69.89,44.7,-0.16,0.0238
397.63,54.7,1.06,0.6506
100.81,21.2,-3.76,0.0121
81.83,76.1,0.83,0.0959
82.13,43.7,-3.24,0.0137
407.29,102.3,-3.85,0.5847
332.6,90.8,-0.17,0.4874
261.53,73.3,1.54,0.439
179.42,43.7,-0.28,0.1256
438.6,25.2,-1.45,0.5912
196.22,93.1,-0.72,0.1673
408.3,58.4,-1.16,0.74
219.57,27.0,-4.31,0.0969
188.47,23.4,-4.61,0.1028
231.34,19.8,-1.7,0.0656
150.69,93.3,-1.3,0.2524
373.8,27.5,-1.47,0.3597
251.36,63.2,0.19,0.3337
116.11,54.2,-2.04,0.0612
449.79,69.6,-0.09,0.3808
191.95,105.3,-1.86,0.2395
271.78,104.1,3.06,0.5554
453.24,54.1,-1.3,0.4427
312.12,1.8,4.35,0.6751
58.45,51.2,-0.62,0.1114
469.92,72.7,-2.03,0.6247
313.85,66.9,-3.75,0.2859
167.45,78.2,-5.11,0.1172
69.64,18.5,-3.98,0.0129
397.01,77.6,-3.7,0.4707
310.04,21.9,-0.51,0.1625
266.73,90.1,-2.82,0.1825
446.95,40.7,-1.03,0.2875
394.3,85.2,1.7,0.6714
75.84,5.7,-1.72,0.0224
155.86,48.9,3.7,0.3707
124.24,84.6,-4.44,0.0594
371.97,27.2,-1.88,0.2746
16.77,95.4,-2.85,0.0651
284.94,75.7,0.84,0.3729
381.23,70.5,-7.1,0.3376
438.38,42.4,-5.11,0.4852
171.04,57.9,-1.77,0.0864
410.63,71.7,2.38,0.6666
55.32,56.7,-0.94,0.0636
423.23,83.8,-4.88,0.5792
63.74,52.0,-4.49,0.0366
198.64,24.3,2.68,0.1515
398.65,25.7,-3.05,0.2145
74.96,0.7,-3.86,0.0531
114.63,36.1,2.19,0.0773
361.13,89.9,1.03,0.5568
360.02,95.3,1.69,0.6927
320.57,24.3,-3.88,0.1961
346.97,115.1,-5.31,0.3216
271.36,60.3,-1.17,0.2079
125.9,110.0,-0.66,0.0638
172.85,84.8,-0.59,0.1423
90.8,86.7,2.2,0.1851
454.23,10.2,-5.83,0.2412
291.7,26.4,0.65,0.2762
200.43,1.1,-4.24,0.0475
231.0,85.9,0.64,0.3225
473.64,41.3,-2.69,0.5405
